Key,Translation,Category
# Common,,
common.welcome,환영합니다,common
common.login,로그인,common
common.register,회원가입,common
common.logout,로그아웃,common
common.profile,프로필,common
common.settings,설정,common
common.save,저장,common
common.cancel,취소,common
common.delete,삭제,common
common.edit,수정,common
common.search,검색,common
common.back,뒤로,common
common.loading,로딩 중...,common
common.error,오류,common
common.success,성공,common
common.yes,예,common
common.no,아니오,common
common.confirm,확인,common
common.submit,제출,common
common.closed,닫힘,common
common.view,보기,common
common.details,상세,common
common.status,상태,common
common.actions,액션,common
common.home,홈,common
common.about,소개,common
common.contact,연락처,common
common.order_now,지금 주문,common
common.follow_us,팔로우하기,common
common.recommended_restaurants,추천 레스토랑,common
common.special_restaurant,특별 레스토랑,common
common.special,특별,common
common.popular_restaurants,인기 레스토랑,common
common.view_all,모두 보기,common
common.why_choose_us,왜 저희를 선택하나요,common
common.open,열림,common
common.delivery_time,30-45분,common
common.help,도움말,common
common.terms_of_service,서비스 이용약관,common
common.privacy_policy,개인정보 처리방침,common
common.quick_links,빠른 링크,common
common.categories,카테고리,common
common.choose_your_favorite_restaurant,좋아하는 레스토랑을 선택하세요,common
common.choose_your_favorite_categories,좋아하는 카테고리를 선택하세요,common
common.view_menu,메뉴 보기,common
common.no_categories_found,카테고리가 없습니다,common
common.please_try_again_later,나중에 다시 시도해주세요,common
common.menu_in_this_category,이 카테고리의 메뉴,common
common.out_of_stock,품절,common
common.view_this_restaurant,이 레스토랑 보기,common
common.login_to_order,주문하려면 로그인하세요,common
common.no_menu_in_this_category,이 카테고리에 메뉴가 없습니다,common
common.try_choosing_another_category,다른 카테고리를 선택해보세요,common
common.view_other_categories,다른 카테고리 보기,common
common.no_restaurant_found,레스토랑을 찾을 수 없습니다,common
common.try_refreshing_the_page,페이지를 새로고침해보세요,common
common.dollars,달러,common
common.not_specified,지정되지 않음,common
common.delivery,배달,common
common.restaurants,레스토랑,common
common.address_not_specified,주소가 지정되지 않음,common
common.is_closed,닫힘,common
common.no_menu,메뉴 없음,common
common.no_reviews,리뷰 없음,common
common.restaurant_is_closed,레스토랑이 닫혀있습니다,common
common.all_products,모든 제품,common
common.choose_food_from_different_restaurants,다양한 레스토랑에서 좋아하는 음식을 선택하세요,common
common.search_for_products,제품 검색,common
common.all_categories,모든 카테고리,common
common.all_restaurants,모든 레스토랑,common
common.clear_filters,필터 지우기,common
common.not_available,사용할 수 없음,common
common.previous,이전,common
common.next,다음,common
common.no_products_found,제품을 찾을 수 없습니다,common
common.try_changing_the_search_or_filter,검색어나 필터를 변경해보세요,common
common.unable_to_load_restaurant_list,레스토랑 목록을 불러올 수 없습니다,common
common.unable_to_load_categories,카테고리를 불러올 수 없습니다,common
common.explore_food_in_this_category,이 카테고리의 음식 탐색,common
common.back_to_categories,카테고리로 돌아가기,common
common.error_adding_to_cart,장바구니에 추가하는 중 오류가 발생했습니다,common
common.added_to_cart,"{product}"을(를) 장바구니에 추가했습니다!,common
common.loading_restaurant_data,레스토랑 정보를 불러오는 중...,common
common.back_to_restaurant_list,레스토랑 목록으로 돌아가기,common
common.failed_to_load_data,데이터를 불러올 수 없습니다,common
common.failed_to_load_products,제품을 불러올 수 없습니다,common
common.no_description,설명 없음,common
common.restaurant,레스토랑,common
common.error_searching,검색 중 오류 발생,common
common.all,모두,common
common.try_again,다시 시도,common
common.refresh,새로고침,common 
common.reviews,리뷰,common
common.load_more,더 보기,common
common.people,명,common
common.close,닫다,common
common.no_data,데이터 없음,common
common.items,품목,common
common.amount,금액,common
common.free,무료,common
common.new,새로운,common
,,
# Search,,
search.search_for_restaurant_or_menu,레스토랑 또는 메뉴 검색,search
search.enter_search_term,검색어를 입력하세요...,search
search.search,검색,search
search.search_type,검색 유형,search
search.menu,메뉴,search
search.searching,검색 중...,search
search.search_results,"{query}" 검색 결과 ({count}개 결과),search
search.restaurants_results,레스토랑 ({count}개 레스토랑),search
search.view_menu,메뉴 보기 →,search
search.menu_results,메뉴 ({count}개 결과),search
search.no_search_results,검색 결과가 없습니다,search
search.try_different_search_or_change_type,다른 검색어를 시도하거나 검색 유형을 변경하세요,search
search.enter_search_above_to_start,위에서 검색어를 입력하여 시작하세요,search
,,
# Navigation,,
nav.restaurants,레스토랑,navigation
nav.categories,카테고리,navigation
nav.all_products,모든 제품,navigation
nav.orders,주문,navigation
nav.favorites,즐겨찾기,navigation 
,,
# Authentication,,
auth.email,이메일,auth
auth.password,비밀번호,auth
auth.confirm_password,비밀번호 확인,auth
auth.forgot_password,비밀번호를 잊으셨나요?,auth
auth.reset_password,비밀번호 재설정,auth
auth.change_password,비밀번호 변경,auth
auth.login_success,로그인 성공,auth
auth.register_success,회원가입 성공,auth
auth.logout_success,로그아웃 성공,auth
auth.verify_email,이메일 인증,auth
auth.email_verification,이메일 인증,auth
auth.email_verified,이메일 인증이 완료되었습니다,auth
auth.google_login,구글로 로그인,auth
auth.verification_sent,인증 이메일이 전송되었습니다,auth
auth.verification_required,이메일 인증이 필요합니다,auth
auth.username,사용자명,auth
auth.remember_me,로그인 상태 유지,auth
auth.or,또는,auth
auth.register_now,지금 회원가입,auth
auth.login_now,지금 로그인,auth
auth.verify_email_title,이메일을 인증하세요,auth
auth.verify_email_message,{email}로 인증 코드를 보내드렸습니다. 이메일을 확인하시고 아래에 인증 코드를 입력해주세요,auth
auth.verification_code,인증 코드,auth
auth.verification_code_placeholder,이메일에서 받은 인증 코드를 입력하세요,auth
auth.verification_code_format,인증 코드는 다음과 같습니다: XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX,auth
auth.verifying,이메일 인증 중...,auth
auth.verify_success,이메일 인증 완료! 이제 로그인할 수 있습니다,auth
auth.resend_code,인증 코드 재전송,auth
auth.resend_success,{email}로 인증 이메일을 재전송했습니다,auth
auth.resend_countdown,{seconds}초 후에 재전송할 수 있습니다,auth
auth.agree_terms,이용약관에 동의합니다,auth
auth.required_field,필수 입력 항목,auth
auth.phone,전화번호,auth
auth.address,주소,auth
auth.role,역할,auth
auth.customer,고객,auth
auth.restaurant,레스토랑,auth
auth.not_logged_in,로그인되지 않음,auth
auth.please_login,로그인해주세요,auth
auth.user_id,사용자 ID,auth
auth.token,토큰,auth 
auth.confirm_logout,로그아웃하시겠습니까?,auth
auth.terms,이용약관,auth
auth.privacy,개인정보 처리방침,auth
auth.and,그리고,auth
auth.sign_up_with_google,구글로 회원가입,auth
,,
# Validation,,
validation.required,이 필드는 필수입니다,validation
validation.email_invalid,유효하지 않은 이메일 주소입니다,validation
validation.password_mismatch,비밀번호가 일치하지 않습니다,validation
validation.password_length,비밀번호는 최소 8자 이상이어야 합니다,validation
validation.invalid_credentials,잘못된 로그인 정보입니다,validation
,,
# Restaurant,,
restaurant.name,레스토랑 이름,restaurant
restaurant.description,설명,restaurant
restaurant.address,주소,restaurant
restaurant.phone,전화번호,restaurant
restaurant.opening_hours,영업시간,restaurant
restaurant.categories,카테고리,restaurant
restaurant.menu,메뉴,restaurant
restaurant.reviews,리뷰,restaurant
restaurant.rating,평점,restaurant
restaurant.status,상태,restaurant
restaurant.create,레스토랑 생성,restaurant
restaurant.edit,레스토랑 수정,restaurant
restaurant.delete,레스토랑 삭제,restaurant
restaurant.orders,레스토랑 주문,restaurant 
,,
# Product,,
product.name,제품명,product
product.description,설명,product
product.price,가격,product
product.category,카테고리,product
product.image,이미지,product
product.quantity,수량,product
product.availability,사용 가능,product
product.create,제품 생성,product
product.edit,제품 수정,product
product.delete,제품 삭제,product
,,
# Order,,
order.number,주문 번호,order
order.status,주문 상태,order
order.total,총액,order
order.items,주문 항목,order
order.date,주문 날짜,order
order.delivery_address,배달 주소,order
order.payment_method,결제 방법,order
order.status.pending,대기 중,order
order.status.pending_desc,주문 접수됨,order
order.status.confirmed,확인됨,order
order.status.paid,결제 완료,order
order.status.paid_desc,결제 성공,order
order.status.preparing,준비 중,order
order.status.preparing_desc,레스토랑에서 음식을 준비하고 있습니다,order
order.status.ready,배달 준비 완료,order
order.status.ready_for_pickup,픽업 준비 완료,order
order.status.ready_for_pickup_desc,음식이 픽업 준비되었습니다,order
order.status.delivering,배달 중,order
order.status.delivering_desc,배달기사가 배달 중입니다,order
order.status.delivered,배달 완료,order
order.status.completed,완료됨,order
order.status.completed_desc,배달 완료,order
order.status.cancelled,취소됨,order
order.status.cancelled_desc,이 주문이 취소되었습니다,order
order.unable_to_load_history,주문 내역을 불러올 수 없습니다,order
order.order_number,주문 #{id},order
order.history,주문 내역,order
order.estimated_time,예상 시간:,order
order.minutes,분,order
order.tracking,추적,order
order.next_step,다음 단계:,order
order.completed_message,주문이 완료되었습니다! 서비스를 이용해주셔서 감사합니다!,order
order.realtime_active,실시간 활성화,order
order.realtime_inactive,실시간 비활성화,order
order.login_required_message,주문 내역을 보고 실시간 업데이트를 받으려면 로그인이 필요합니다 (10초마다),order
order.from_multiple_restaurants,{count}개 레스토랑에서 주문,order
order.multi_restaurant_delivery,여러 레스토랑에서 주문 - 음식이 함께 배달됩니다,order
order.items_count,개 항목,order
order.subtotal,소계,order
order.delivery_fee,배달비,order
order.delivery_from_multiple,{count}개 레스토랑에서 배달,order
order.no_history,주문 내역 없음,order
